Rk,Player,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb
198,Geronimo Allison,GNB,24,WR,5,4,30,20,66.70%,303,15.2,2,11,64,10.1,4,60.6,1
199,Peyton Barber,TAM,24,RB,16,16,29,20,69.00%,92,4.6,1,4,10,3.2,1.3,5.8,1
200,Alfred Blue,HOU,27,RB,16,2,27,20,74.10%,154,7.7,0,4,28,5.7,1.3,9.6,0
201,Chris Carson,SEA,24,RB,14,14,24,20,83.30%,163,8.2,0,7,27,6.8,1.4,11.6,3
202,Nick Chubb,CLE,23,RB,16,9,29,20,69.00%,149,7.5,2,5,24,5.1,1.3,9.3,0
203,Chase Edmonds,ARI,22,RB,16,0,23,20,87.00%,103,5.2,0,5,13,4.5,1.3,6.4,1
204,Alex Erickson,CIN,26,WR,16,6,29,20,69.00%,167,8.4,0,7,28,5.8,1.3,10.4,1
205,Jordan Howard,CHI,24,RB,16,15,26,20,76.90%,145,7.3,0,7,18,5.6,1.3,9.1,2
206,Allen Hurns,DAL,27,WR,16,7,35,20,57.10%,295,14.8,2,11,49,8.4,1.3,18.4,1
207,Jordan Matthews,PHI,26,WR,14,3,28,20,71.40%,300,15,2,14,56,10.7,1.4,21.4,0
208,Adrian Peterson,WAS,33,RB,16,16,26,20,76.90%,208,10.4,1,9,52,8,1.3,13,3
209,Paul Richardson,WAS,26,WR,7,4,35,20,57.10%,262,13.1,2,12,46,7.5,2.9,37.4,0
210,Jonnu Smith,TEN,23,TE,13,12,30,20,66.70%,258,12.9,3,10,61,8.6,1.5,19.8,1
211,Jordan Thomas,HOU,22,TE,16,10,27,20,74.10%,215,10.8,4,12,39,8,1.3,13.4,0
212,Spencer Ware,KAN,27,RB,13,2,23,20,87.00%,224,11.2,0,9,31,9.7,1.5,17.2,0
213,Martavis Bryant,OAK,27,WR,8,2,27,19,70.40%,266,14,0,10,47,9.9,2.4,33.3,1
214,Anthony Firkser,TEN,23,FB,12,0,20,19,95.00%,225,11.8,1,11,28,11.3,1.6,18.8,0
215,Virgil Green,LAC,30,TE,16,16,27,19,70.40%,210,11.1,1,10,26,7.8,1.2,13.1,0
216,T.J. Jones,DET,26,WR,15,3,26,19,73.10%,190,10,2,10,26,7.3,1.3,12.7,0
217,Lance Kendricks,GNB,30,TE,16,3,25,19,76.00%,170,8.9,1,9,22,6.8,1.2,10.6,0
218,Elijah McGuire,NYJ,24,RB,8,3,31,19,61.30%,193,10.2,1,10,20,6.2,2.4,24.1,2
219,Chris Moore,BAL,25,WR,16,0,25,19,76.00%,196,10.3,1,8,30,7.8,1.2,12.3,0
220,Trent Sherfield,ARI,22,WR,13,2,28,19,67.90%,210,11.1,1,11,21,7.5,1.5,16.2,0
221,Doug Martin,OAK,29,RB,16,9,24,18,75.00%,116,6.4,0,6,23,4.8,1.1,7.3,3
222,Isaiah McKenzie,2TM,23,WR,8,1,30,18,60.00%,179,9.9,0,10,23,6,2.3,22.4,2
223,Jordan Akins,HOU,26,TE,16,6,25,17,68.00%,225,13.2,0,11,28,9,1.1,14.1,0
224,Trenton Cannon,NYJ,24,RB,16,0,25,17,68.00%,144,8.5,0,4,35,5.8,1.1,9,0
225,Ted Ginn Jr.,NOR,33,WR,5,3,30,17,56.70%,209,12.3,2,10,42,7,3.4,41.8,1
226,Marlon Mack,IND,22,RB,12,10,26,17,65.40%,103,6.1,1,3,29,4,1.4,8.6,2
227,Aldrick Robinson,MIN,30,WR,14,0,35,17,48.60%,231,13.6,5,12,40,6.6,1.2,16.5,0
228,Torrey Smith,CAR,29,WR,11,6,31,17,54.80%,190,11.2,2,12,35,6.1,1.5,17.3,0
229,Deonte Thompson,2TM,29,WR,13,6,30,17,56.70%,161,9.5,0,10,15,5.4,1.3,12.4,0
230,Chad Williams,ARI,24,WR,10,7,46,17,37.00%,171,10.1,1,9,22,3.7,1.7,17.1,0
231,Kapri Bibbs,2TM,25,RB,12,0,23,16,69.60%,115,7.2,1,4,23,5,1.3,9.6,1
232,Bennie Fowler,NYG,27,WR,10,5,27,16,59.30%,199,12.4,1,11,26,7.4,1.6,19.9,1
233,Josh Hill,NOR,28,TE,16,11,24,16,66.70%,185,11.6,1,11,23,7.7,1,11.6,0
